year,i,v
2016,F,0.9599716561118586
2016,G,0.0382418519682473
2016,C,0.0012657864805693667
2016,W,1.2161279236855405e-05
2016,S,4.5402109150926846e-05
2016,O,0.00046314205093691
2017,F,0.9598036277704027
2017,G,0.03840420504605933
2017,C,0.0012674079844676141
2017,W,1.5302943039709717e-05
2017,S,4.864511694742162e-05
2017,O,0.0004608111390831794
2018,F,0.959801296858549
2018,G,0.038401570102224676
2018,C,0.001268016048429457
2018,W,1.6519070963395258e-05
2018,S,5.3610972635804244e-05
2018,O,0.0004589869471976511
2019,F,0.9598036277704027
2019,G,0.03840420504605933
2019,C,0.0012674079844676141
2019,W,1.5302943039709717e-05
2019,S,4.864511694742162e-05
2019,O,0.0004608111390831794
